scam_type,complaint_status,bank_id,sender_state,complaint_count,avg_resolution_days,min_resolution_days,max_resolution_days,total_amount_involved,affected_users,linked_txns,amount_involved_lakhs,avg_loss_per_user
TECH_SUPPORT,ESCALATED,UNION009,West Bengal,2,,,,7633.21,2,2,0.08,3817.0
IMPERSONATION,RESOLVED,KOTAK005,Madhya Pradesh,3,40.0,13.0,82.0,6900.0,3,3,0.07,2300.0
LOTTERY,OPEN,INDUS010,Meghalaya,2,,,,5385.08,2,2,0.05,2693.0
IMPERSONATION,OPEN,HDFC002,Kerala,1,,,,2000.0,1,1,0.02,2000.0
LEGITIMATE,ESCALATED,BOB007,Haryana,1,,,,106.55,1,1,0.0,107.0
TECH_SUPPORT,OPEN,CANARA008,Jharkhand,2,,,,5269.78,2,2,0.05,2635.0
JOB,RESOLVED,ICICI003,Nagaland,1,18.0,18.0,18.0,1800.0,1,1,0.02,1800.0
TECH_SUPPORT,RESOLVED,CANARA008,West Bengal,1,33.0,33.0,33.0,1100.0,1,1,0.01,1100.0
TECH_SUPPORT,OPEN,ICICI003,Karnataka,4,,,,7354.4400000000005,4,4,0.07,1839.0
LEGITIMATE,RESOLVED,CANARA008,Maharashtra,1,34.0,34.0,34.0,510.22,1,1,0.01,510.0
LEGITIMATE,OPEN,SBI001,Delhi,2,,,,2959.96,2,2,0.03,1480.0
KYC,OPEN,KOTAK005,Telangana,12,,,,28737.97,12,12,0.29,2395.0
KYC,ESCALATED,SBI001,Telangana,7,,,,13602.91,7,7,0.14,1943.0
KYC,OPEN,HDFC002,Gujarat,8,,,,12660.07,8,8,0.13,1583.0
LEGITIMATE,ESCALATED,UNION009,Maharashtra,3,,,,7543.799999999999,3,3,0.08,2515.0
JOB,RESOLVED,BOB007,Uttar Pradesh,1,9.0,9.0,9.0,7953.41,1,1,0.08,7953.0
IMPERSONATION,OPEN,HDFC002,Jharkhand,2,,,,16486.52,2,2,0.16,8243.0
LOTTERY,RESOLVED,AXIS004,Punjab,1,50.0,50.0,50.0,16336.95,1,1,0.16,16337.0
TECH_SUPPORT,OPEN,CANARA008,Uttar Pradesh,4,,,,8044.48,4,4,0.08,2011.0
EMERGENCY,ESCALATED,SBI001,Delhi,1,,,,4839.3,1,1,0.05,4839.0
INVESTMENT,OPEN,KOTAK005,Gujarat,3,,,,15000.0,3,3,0.15,5000.0
INVESTMENT,ESCALATED,CANARA008,Gujarat,1,,,,100000.0,1,1,1.0,100000.0
EMERGENCY,OPEN,UNION009,West Bengal,1,,,,8600.0,1,1,0.09,8600.0
LEGITIMATE,RESOLVED,PNB006,Telangana,2,66.5,47.0,86.0,1677.06,2,2,0.02,839.0
KYC,OPEN,CANARA008,Delhi,5,,,,14550.92,5,5,0.15,2910.0
LEGITIMATE,OPEN,INDUS010,Maharashtra,10,,,,62058.619999999995,10,10,0.62,6206.0
LOTTERY,OPEN,PNB006,Manipur,1,,,,3000.0,1,1,0.03,3000.0
IMPERSONATION,OPEN,AXIS004,Uttar Pradesh,3,,,,19030.68,3,3,0.19,6344.0
TECH_SUPPORT,OPEN,SBI001,Andhra Pradesh,1,,,,2800.0,1,1,0.03,2800.0
INVESTMENT,OPEN,ICICI003,Maharashtra,4,,,,98048.9,4,4,0.98,24512.0
KYC,RESOLVED,BOB007,Maharashtra,5,56.4,40.0,83.0,18299.87,5,5,0.18,3660.0
KYC,OPEN,SBI001,Madhya Pradesh,1,,,,700.0,1,1,0.01,700.0
TECH_SUPPORT,RESOLVED,KOTAK005,Maharashtra,1,36.0,36.0,36.0,1000.0,1,1,0.01,1000.0
LEGITIMATE,OPEN,BOB007,Chhattisgarh,1,,,,9086.28,1,1,0.09,9086.0
LEGITIMATE,ESCALATED,INDUS010,Telangana,1,,,,992.47,1,1,0.01,992.0
TECH_SUPPORT,OPEN,ICICI003,Tamil Nadu,3,,,,10445.83,3,3,0.1,3482.0
LOTTERY,ESCALATED,INDUS010,Maharashtra,3,,,,40307.84,3,3,0.4,13436.0
LOTTERY,OPEN,PNB006,Punjab,2,,,,5789.639999999999,2,2,0.06,2895.0
KYC,ESCALATED,SBI001,Madhya Pradesh,2,,,,1701.3,2,2,0.02,851.0
LOTTERY,OPEN,ICICI003,Punjab,3,,,,25913.88,3,3,0.26,8638.0
KYC,ESCALATED,INDUS010,Maharashtra,6,,,,14625.060000000001,6,6,0.15,2438.0
TECH_SUPPORT,ESCALATED,ICICI003,Tamil Nadu,2,,,,6992.29,2,2,0.07,3496.0
LEGITIMATE,OPEN,SBI001,Karnataka,3,,,,17849.95,3,3,0.18,5950.0
KYC,RESOLVED,INDUS010,Delhi,3,41.666666666666664,20.0,56.0,8985.759999999998,3,3,0.09,2995.0
LOTTERY,ESCALATED,HDFC002,Telangana,1,,,,6582.22,1,1,0.07,6582.0
KYC,ESCALATED,SBI001,Karnataka,4,,,,6660.67,4,4,0.07,1665.0
JOB,RESOLVED,BOB007,Delhi,2,17.0,3.0,31.0,8000.0,2,2,0.08,4000.0
KYC,RESOLVED,SBI001,Tamil Nadu,4,36.5,3.0,84.0,8318.85,4,4,0.08,2080.0
LEGITIMATE,RESOLVED,BOB007,Tamil Nadu,1,44.0,44.0,44.0,889.72,1,1,0.01,890.0
TECH_SUPPORT,OPEN,BOB007,Rajasthan,1,,,,6000.0,1,1,0.06,6000.0
LEGITIMATE,RESOLVED,UNION009,Himachal Pradesh,1,73.0,73.0,73.0,28191.84,1,1,0.28,28192.0
TECH_SUPPORT,ESCALATED,SBI001,Rajasthan,1,,,,1884.47,1,1,0.02,1884.0
EMERGENCY,OPEN,INDUS010,Karnataka,2,,,,8181.110000000001,2,2,0.08,4091.0
LEGITIMATE,RESOLVED,KOTAK005,West Bengal,1,64.0,64.0,64.0,7687.71,1,1,0.08,7688.0
INVESTMENT,OPEN,CANARA008,Telangana,3,,,,33378.08,3,3,0.33,11126.0
KYC,RESOLVED,ICICI003,Delhi,4,46.25,12.0,86.0,6029.84,4,4,0.06,1507.0
JOB,RESOLVED,HDFC002,Kerala,1,72.0,72.0,72.0,3235.5,1,1,0.03,3236.0
JOB,ESCALATED,PNB006,Maharashtra,3,,,,16557.190000000002,3,3,0.17,5519.0
LOTTERY,RESOLVED,AXIS004,Andhra Pradesh,1,68.0,68.0,68.0,18173.06,1,1,0.18,18173.0
LEGITIMATE,ESCALATED,CANARA008,Karnataka,1,,,,3631.55,1,1,0.04,3632.0
KYC,OPEN,ICICI003,Punjab,5,,,,8106.8,5,5,0.08,1621.0
IMPERSONATION,OPEN,SBI001,Gujarat,2,,,,23200.0,2,2,0.23,11600.0
TECH_SUPPORT,OPEN,SBI001,Maharashtra,4,,,,13621.81,4,4,0.14,3405.0
TECH_SUPPORT,OPEN,HDFC002,Maharashtra,6,,,,26398.920000000002,6,6,0.26,4400.0
KYC,OPEN,SBI001,West Bengal,3,,,,8445.92,3,3,0.08,2815.0
IMPERSONATION,RESOLVED,PNB006,Arunachal Pradesh,1,25.0,25.0,25.0,9100.0,1,1,0.09,9100.0
IMPERSONATION,OPEN,ICICI003,Assam,1,,,,40893.4,1,1,0.41,40893.0
LEGITIMATE,ESCALATED,HDFC002,Gujarat,2,,,,1737.5400000000002,2,2,0.02,869.0
LOTTERY,OPEN,UNION009,Tamil Nadu,7,,,,45675.31,7,7,0.46,6525.0
KYC,ESCALATED,UNION009,Jharkhand,1,,,,706.22,1,1,0.01,706.0
KYC,ESCALATED,PNB006,Uttar Pradesh,3,,,,8257.52,3,3,0.08,2753.0
LOTTERY,RESOLVED,ICICI003,Tripura,1,9.0,9.0,9.0,4678.53,1,1,0.05,4679.0
EMERGENCY,OPEN,AXIS004,Jharkhand,1,,,,50000.0,1,1,0.5,50000.0
LOTTERY,RESOLVED,INDUS010,Mizoram,1,45.0,45.0,45.0,5700.0,1,1,0.06,5700.0
JOB,OPEN,CANARA008,Uttar Pradesh,2,,,,7700.0,2,2,0.08,3850.0
IMPERSONATION,OPEN,HDFC002,Assam,1,,,,5450.6,1,1,0.05,5451.0
KYC,RESOLVED,KOTAK005,Jharkhand,1,85.0,85.0,85.0,2029.25,1,1,0.02,2029.0
LEGITIMATE,ESCALATED,BOB007,West Bengal,2,,,,10685.83,2,2,0.11,5343.0
LEGITIMATE,RESOLVED,KOTAK005,Jharkhand,1,9.0,9.0,9.0,233.7,1,1,0.0,234.0
INVESTMENT,ESCALATED,KOTAK005,Madhya Pradesh,1,,,,5000.0,1,1,0.05,5000.0
LEGITIMATE,ESCALATED,PNB006,Maharashtra,2,,,,2350.1800000000003,2,2,0.02,1175.0
INVESTMENT,OPEN,AXIS004,Maharashtra,1,,,,100000.0,1,1,1.0,100000.0
TECH_SUPPORT,RESOLVED,CANARA008,Tamil Nadu,1,45.0,45.0,45.0,1692.7,1,1,0.02,1693.0
TECH_SUPPORT,RESOLVED,BOB007,Uttar Pradesh,1,54.0,54.0,54.0,1118.84,1,1,0.01,1119.0
IMPERSONATION,RESOLVED,UNION009,Madhya Pradesh,2,57.0,54.0,60.0,21033.66,2,2,0.21,10517.0
LEGITIMATE,RESOLVED,KOTAK005,Telangana,1,21.0,21.0,21.0,1088.21,1,1,0.01,1088.0
IMPERSONATION,ESCALATED,AXIS004,Delhi,1,,,,7395.51,1,1,0.07,7396.0
LEGITIMATE,OPEN,HDFC002,Punjab,1,,,,14959.87,1,1,0.15,14960.0
IMPERSONATION,OPEN,AXIS004,Rajasthan,2,,,,23071.13,2,2,0.23,11536.0
JOB,RESOLVED,AXIS004,Telangana,1,14.0,14.0,14.0,3000.0,1,1,0.03,3000.0
LOTTERY,OPEN,CANARA008,Bihar,2,,,,22192.1,2,2,0.22,11096.0
EMERGENCY,OPEN,UNION009,Kerala,1,,,,16521.3,1,1,0.17,16521.0
LOTTERY,RESOLVED,SBI001,Nagaland,2,47.5,32.0,63.0,12985.07,2,2,0.13,6493.0
TECH_SUPPORT,RESOLVED,CANARA008,Gujarat,3,20.333333333333332,3.0,32.0,8574.0,3,3,0.09,2858.0
LEGITIMATE,OPEN,INDUS010,Gujarat,1,,,,582.55,1,1,0.01,583.0
JOB,OPEN,BOB007,Karnataka,2,,,,2700.0,2,2,0.03,1350.0
LOTTERY,ESCALATED,INDUS010,Karnataka,2,,,,27500.0,2,2,0.28,13750.0
KYC,OPEN,ICICI003,Arunachal Pradesh,1,,,,2698.05,1,1,0.03,2698.0
IMPERSONATION,RESOLVED,BOB007,Madhya Pradesh,1,45.0,45.0,45.0,4748.43,1,1,0.05,4748.0
LEGITIMATE,RESOLVED,ICICI003,Madhya Pradesh,2,80.0,78.0,82.0,10966.89,2,2,0.11,5483.0
INVESTMENT,OPEN,KOTAK005,Jharkhand,1,,,,100000.0,1,1,1.0,100000.0
IMPERSONATION,OPEN,HDFC002,West Bengal,2,,,,39726.840000000004,2,2,0.4,19863.0
INVESTMENT,OPEN,HDFC002,Gujarat,1,,,,6237.3,1,1,0.06,6237.0
LOTTERY,RESOLVED,BOB007,Gujarat,2,69.0,52.0,86.0,2540.51,2,2,0.03,1270.0
IMPERSONATION,OPEN,ICICI003,Uttar Pradesh,1,,,,50000.0,1,1,0.5,50000.0
TECH_SUPPORT,OPEN,PNB006,Uttar Pradesh,2,,,,9800.0,2,2,0.1,4900.0
IMPERSONATION,OPEN,CANARA008,Tamil Nadu,1,,,,3161.12,1,1,0.03,3161.0
IMPERSONATION,ESCALATED,PNB006,Tamil Nadu,2,,,,50925.03,2,2,0.51,25463.0
LEGITIMATE,OPEN,ICICI003,Madhya Pradesh,2,,,,1417.47,2,2,0.01,709.0
EMERGENCY,OPEN,CANARA008,Manipur,1,,,,11820.9,1,1,0.12,11821.0
TECH_SUPPORT,ESCALATED,BOB007,Kerala,1,,,,5900.0,1,1,0.06,5900.0
