txn_id,complaint_id,sender_vpa_hash,complaint_ts,scam_type,amount_bucket,complaint_status,resolution_days,bank_id,sender_state,fraud_type,amount_numeric,upi_remark,txn_timestamp,is_fraud,complaint_date,complaint_week
10fba754-203b-4b73-a8f3-a6451b26b1c9,SATARK-A77DCC1A,8a07788a42f0cabc,2024-03-23T10:48:34.776Z,KYC,S,OPEN,,AXIS004,Odisha,KYC,500.0,aadhar kyc update penalty avoidance fee,2024-03-22T20:58:45.000Z,true,2024-03-23,2024-03-18T00:00:00.000Z
2cf0e4d2-3f7c-41de-ad89-a9e9a3dbcbbf,SATARK-5A8FEE02,121e677a2e7e6404,2024-02-16T07:20:34.616Z,LOTTERY,L,OPEN,,AXIS004,Telangana,LOTTERY,13099.12,online lottery wijner fee,2024-02-15T22:57:38.000Z,true,2024-02-16,2024-02-12T00:00:00.000Z
82205c37-4a3a-411f-ac53-1b24dddddf26,SATARK-E4A7F3E3,335a0fe278fd44c0,2024-03-07T04:13:02.532Z,KYC,S,ESCALATED,,BOB007,Karnataka,KYC,1900.0,pan aadhaar link penalty chsrge,2024-03-04T22:38:26.000Z,true,2024-03-07,2024-03-04T00:00:00.000Z
5d90fa7e-079e-43fc-aed0-f9ccadb1516e,SATARK-CFCF65AF,ea5c8a71bb85edfc,2024-01-13T01:13:40.674Z,LOTTERY,M,OPEN,,KOTAK005,Maharashtra,LOTTERY,4700.0,prize money processing charge,2024-01-12T18:56:18.000Z,true,2024-01-13,2024-01-08T00:00:00.000Z
c5fe7d53-117d-477c-b1bc-386a32dc8b9f,SATARK-6BF1DD96,03e8f8c96f5c59af,2024-03-01T11:45:26.643Z,KYC,M,OPEN,,AXIS004,Assam,KYC,2094.27,mobile number KYC update penalty,2024-02-27T20:22:18.000Z,true,2024-03-01,2024-02-26T00:00:00.000Z
e272d106-b401-4f72-8d30-96724d86746e,SATARK-2FD0B7F1,784a5ae165ca0f7e,2024-03-06T18:55:14.047Z,KYC,M,OPEN,,BOB007,Karnataka,KYC,3100.0,tata sky KYC fee disconnection avoid,2024-03-05T06:21:02.000Z,true,2024-03-06,2024-03-04T00:00:00.000Z
a55e86b5-9f54-4971-ad43-0a8759adad99,SATARK-CF4BC0E8,81805b7522be8451,2024-02-07T11:07:21.465Z,JOB,S,OPEN,,HDFC002,Tamil Nadu,JOB,1013.01,SSC job placement advance,2024-02-06T21:43:13.000Z,true,2024-02-07,2024-02-05T00:00:00.000Z
b0ac6f84-4883-4d42-85ec-377620b60c3c,SATARK-833ED66E,08498912844cdee3,2024-03-27T15:13:49.126Z,TECH_SUPPORT,S,RESOLVED,77.0,KOTAK005,Delhi,TECH_SUPPORT,607.05,Amazon seller refund advance,2024-03-27T08:41:58.000Z,true,2024-03-27,2024-03-25T00:00:00.000Z
73076aaf-c906-410b-a05d-76d4303d9c10,SATARK-0D1D1A0A,2b648b11fd2e5f87,2024-01-10T13:31:53.109Z,KYC,S,RESOLVED,47.0,SBI001,Tamil Nadu,KYC,881.43,please DTH KYC verification charge,2024-01-08T21:43:06.000Z,true,2024-01-10,2024-01-08T00:00:00.000Z
d619fb56-80a3-4232-8532-9496e472a160,SATARK-72A7F2D4,2d0bb2ef8d156fb2,2024-01-31T18:22:29.997Z,KYC,S,RESOLVED,40.0,PNB006,Gujarat,KYC,1100.0,electricity disconnection avoid KYC payment,2024-01-30T09:38:40.000Z,true,2024-01-31,2024-01-29T00:00:00.000Z
3ab4c6b9-8518-4b3f-acc1-79a72ba86eb3,SATARK-89694804,ed12e0845857e695,2024-03-09T23:21:22.193Z,EMERGENCY,L,OPEN,,SBI001,Tripura,EMERGENCY,17886.94,emergency help urgeitly needed,2024-03-07T06:47:31.000Z,true,2024-03-09,2024-03-04T00:00:00.000Z
1b55ab0c-9a27-4adc-a8ec-aba5379f776e,SATARK-87A519AA,a72f140e5f00d79e,2024-02-15T17:04:08.497Z,JOB,S,OPEN,,PNB006,West Bengal,JOB,1700.0,kindly company joining fee advance sir,2024-02-13T14:21:22.000Z,true,2024-02-15,2024-02-12T00:00:00.000Z
e2d3fdfc-5927-469e-b340-be76f0e7bcfd,SATARK-F86C16B5,b4a3993feb2c320a,2024-03-13T01:59:39.440Z,LOTTERY,M,OPEN,,BOB007,Karnataka,LOTTERY,3100.0,bumper prize claim advance,2024-03-10T07:38:32.000Z,true,2024-03-13,2024-03-11T00:00:00.000Z
6840349a-ad5f-41fe-812f-b334137ab279,SATARK-F129BAC7,f6317c7ba89e791e,2024-02-23T19:10:50.006Z,KYC,S,ESCALATED,,CANARA008,Madhya Pradesh,KYC,900.0,UPI limit increase KYC fee,2024-02-22T22:58:28.000Z,true,2024-02-23,2024-02-19T00:00:00.000Z
2ae954c5-498c-4624-ac62-d217aa6b59a6,SATARK-E332F6A9,d0b1f9e5dfaff52c,2024-02-12T05:08:21.622Z,IMPERSONATION,L,ESCALATED,,CANARA008,Maharashtra,IMPERSONATION,17321.16,kindly ED case clearance fee,2024-02-10T22:03:17.000Z,true,2024-02-12,2024-02-12T00:00:00.000Z
5d41ee0f-64b1-41fc-b09e-87333edfaae8,SATARK-52890234,c767a9f9f0325a95,2024-01-24T17:56:48.151Z,KYC,S,RESOLVED,45.0,INDUS010,Uttar Pradesh,KYC,1900.0,internet connection KYC penalty,2024-01-23T21:53:28.000Z,true,2024-01-24,2024-01-22T00:00:00.000Z
a1d283cf-e0a3-4f9d-a327-03fcf00231c7,SATARK-582B876A,09d3042a56f1a7bd,2024-02-09T06:09:00.637Z,LEGITIMATE,S,OPEN,,INDUS010,Andhra Pradesh,LEGITIMATE,942.49,washing machine service,2024-02-08T18:09:12.000Z,true,2024-02-09,2024-02-05T00:00:00.000Z
a25dbc64-8f0d-411d-b968-647496bda4e3,SATARK-3F935F5D,d6bb0f477bdb54dd,2024-03-03T02:46:51.065Z,TECH_SUPPORT,S,OPEN,,ICICI003,West Bengal,TECH_SUPPORT,1876.16,insurance refund processing fee,2024-02-29T21:22:49.000Z,true,2024-03-03,2024-02-26T00:00:00.000Z
f1c2954e-1eb9-4128-9e2c-4fb579a36997,SATARK-6D4C3962,45cbebd4e354862a,2024-02-22T10:25:12.711Z,LOTTERY,M,ESCALATED,,UNION009,Uttar Pradesh,LOTTERY,3300.0,prize money processing charge,2024-02-19T22:54:48.000Z,true,2024-02-22,2024-02-19T00:00:00.000Z
b2203ebc-a5bb-4322-8f2e-20d9cced9132,SATARK-0B4850AA,4b7cea0fbe11019e,2024-02-19T23:23:08.560Z,JOB,M,OPEN,,SBI001,Karnataka,JOB,3300.0,employment verification fee,2024-02-18T21:54:26.000Z,true,2024-02-19,2024-02-19T00:00:00.000Z
f35e174f-0152-43fc-b7a7-94d1f830586b,SATARK-4AA085EF,6fd785a512ffcc5a,2024-02-18T19:07:55.086Z,LOTTERY,L,OPEN,,INDUS010,Kerala,LOTTERY,10253.5,lucky winner verification fee yast date,2024-02-15T20:15:16.000Z,true,2024-02-18,2024-02-12T00:00:00.000Z
a2e122b3-2bdc-4639-939f-57d1d4b9d2b7,SATARK-F58334C0,b8983ad0dc100820,2024-03-22T17:03:50.057Z,KYC,M,OPEN,,SBI001,Andhra Pradesh,KYC,3000.0,aadhaar verification penalty payment,2024-03-20T22:16:12.000Z,true,2024-03-22,2024-03-18T00:00:00.000Z
0ba9242b-2088-4549-af48-180543142288,SATARK-A6D0940F,a8aeae25f6a39e97,2024-03-04T08:02:44.139Z,IMPERSONATION,L,RESOLVED,62.0,SBI001,Meghalaya,IMPERSONATION,21359.85,enforcement directxrate settlement ji,2024-03-02T21:04:45.000Z,true,2024-03-04,2024-03-04T00:00:00.000Z
5e064e9d-d3a2-4d1c-891c-088d4f4e201a,SATARK-0357F7C3,5a336d038f0075ba,2024-01-10T17:56:13.180Z,KYC,M,OPEN,,ICICI003,Uttar Pradesh,KYC,3233.48,bijli KYC penalty kal last date,2024-01-09T20:18:54.000Z,true,2024-01-10,2024-01-08T00:00:00.000Z
7fe6dd0c-e995-4b58-8f3c-80052cee9b32,SATARK-2D54FE03,0befafb8956950aa,2024-02-24T14:54:32.387Z,TECH_SUPPORT,S,OPEN,,KOTAK005,Gujarat,TECH_SUPPORT,1200.0,refund transaction verification fee,2024-02-22T16:46:42.000Z,true,2024-02-24,2024-02-19T00:00:00.000Z
99c57016-ac55-4440-bc03-097ecbd91eb5,SATARK-853A907A,955ea83e49deba98,2024-01-29T22:47:20.983Z,LEGITIMATE,S,OPEN,,INDUS010,Jharkhand,LEGITIMATE,736.45,pending dues last date,2024-01-28T16:56:44.000Z,true,2024-01-29,2024-01-29T00:00:00.000Z
2390f9c0-4f2d-4326-9a59-53fbd9c36d32,SATARK-8B8B46CC,7c5debcd8d384b6d,2024-03-07T07:05:52.980Z,EMERGENCY,M,RESOLVED,84.0,KOTAK005,Goa,EMERGENCY,6893.49,stuck in city help advance,2024-03-06T20:33:14.000Z,true,2024-03-07,2024-03-04T00:00:00.000Z
2ded12ab-94bf-4424-a285-c078aa57bc87,SATARK-D764D8A3,fdff7a6ca8b1196d,2024-03-20T09:43:56.927Z,KYC,M,OPEN,,PNB006,West Bengal,KYC,5000.0,ICICI bank KYC fee urgent,2024-03-19T07:35:01.000Z,true,2024-03-20,2024-03-18T00:00:00.000Z
0f3bc63d-7f2a-40df-a450-5f1f5d086abe,SATARK-2C659630,f34832f85f1c86b7,2024-02-08T03:04:22.646Z,KYC,S,OPEN,,ICICI003,West Bengal,KYC,1900.0,png gas KYC verification charge aaj hi,2024-02-05T19:56:18.000Z,true,2024-02-08,2024-02-05T00:00:00.000Z
98a4aaac-ea2f-41cc-a461-f23571267bd7,SATARK-289D6337,651ecc11f87ebb73,2024-01-10T01:56:20.745Z,KYC,S,OPEN,,BOB007,Maharashtra,KYC,629.74,pan aadhaor link penalty charge,2024-01-07T22:21:09.000Z,true,2024-01-10,2024-01-08T00:00:00.000Z
f93569df-6713-4631-9478-7976d829e8fa,SATARK-08505BEB,382de563f83cb680,2024-03-20T01:51:16.464Z,JOB,M,RESOLVED,72.0,ICICI003,Maharashtra,JOB,3154.08,naukri registration advance bhejo,2024-03-18T20:37:35.000Z,true,2024-03-20,2024-03-18T00:00:00.000Z
ad83920c-7ea2-4c63-bfd9-c4205d5eea90,SATARK-493AFA0B,346e78f00b477eb5,2024-02-02T01:11:56.133Z,KYC,M,OPEN,,HDFC002,Andhra Pradesh,KYC,2842.09,Aadhaar update processing fee,2024-02-01T20:24:58.000Z,true,2024-02-02,2024-01-29T00:00:00.000Z
ee14242e-4762-4dc6-953a-8d1e8db6b4f7,SATARK-57057AD0,1d651a186c251d10,2024-03-22T18:11:57.057Z,KYC,M,OPEN,,BOB007,Uttar Pradesh,KYC,3065.68,bank KYC verification penalty urgent,2024-03-22T15:48:35.000Z,true,2024-03-22,2024-03-18T00:00:00.000Z
6461e681-796f-4e08-97a8-a5779882d3a0,SATARK-1A1025CB,f20e7a25ee7ed396,2024-02-19T10:35:34.820Z,TECH_SUPPORT,M,RESOLVED,22.0,BOB007,Bihar,TECH_SUPPORT,2977.61,refund de rahe hain fee bhejo,2024-02-18T20:10:37.000Z,true,2024-02-19,2024-02-19T00:00:00.000Z
bb461f86-7b2f-4a3f-8175-c8c6914d21f5,SATARK-851BA7DF,0b40f6d3d0032f6c,2024-02-24T03:53:10.506Z,LOTTERY,M,OPEN,,AXIS004,Madhya Pradesh,LOTTERY,9593.08,lottery winner advance payment last date,2024-02-22T22:36:23.000Z,true,2024-02-24,2024-02-19T00:00:00.000Z
66d59ac5-80c1-40ea-9a58-3fe05ecada1b,SATARK-D9CD899A,1ad6ed5882567309,2024-03-12T21:57:20.650Z,KYC,M,OPEN,,UNION009,Madhya Pradesh,KYC,4600.0,electricityjmeter KYC fee,2024-03-11T12:42:21.000Z,true,2024-03-12,2024-03-11T00:00:00.000Z
c49ceb3f-bc8c-42ca-9250-99756902c74d,SATARK-D1F86A8A,544ce0679ccff78a,2024-01-03T17:01:54.177Z,TECH_SUPPORT,M,RESOLVED,77.0,KOTAK005,Kerala,TECH_SUPPORT,3734.87,please refund transaction verification fee,2024-01-01T09:25:27.000Z,true,2024-01-03,2024-01-01T00:00:00.000Z
5d84a901-e939-4f20-a323-0a64c0b7e6e2,SATARK-4F6B4E45,00b6fe6f64b8ffa5,2024-03-17T11:15:46.977Z,KYC,S,OPEN,,UNION009,Madhya Pradesh,KYC,960.97,DTH KYC verification charge,2024-03-15T21:23:24.000Z,true,2024-03-17,2024-03-11T00:00:00.000Z
aabfba40-f918-4b7b-a48b-0a836e1b7c08,SATARK-E7E0C515,984bcb2b2c561c3d,2024-02-27T10:46:05.905Z,JOB,S,OPEN,,INDUS010,Punjab,JOB,1500.0,UPSC coaching advance deposit,2024-02-24T20:17:17.000Z,true,2024-02-27,2024-02-26T00:00:00.000Z
d3607cdc-c521-4ca1-a63f-d14ecfb3754c,SATARK-8979181E,495d42826125a6e1,2024-03-03T21:03:12.573Z,LOTTERY,L,RESOLVED,71.0,AXIS004,Delhi,LOTTERY,11626.92,KBC winner processing fee,2024-02-29T21:43:45.000Z,true,2024-03-03,2024-02-26T00:00:00.000Z
540d7757-4282-4c0e-b5dd-ce84e16a71ed,SATARK-F44DB0A7,459c624bcb8cb9c3,2024-01-18T02:13:50.244Z,IMPERSONATION,L,OPEN,,SBI001,Tamil Nadu,IMPERSONATION,27913.99,income tax penalty payment,2024-01-16T20:01:40.000Z,true,2024-01-18,2024-01-15T00:00:00.000Z
2526fbd1-c9b1-4dfb-b02a-7623f0af925d,SATARK-25F4EC9B,fb19fdfbf28f55d7,2024-02-28T21:58:39.844Z,TECH_SUPPORT,M,OPEN,,BOB007,West Bengal,TECH_SUPPORT,4342.37,OTP verification refund fee,2024-02-26T21:38:44.000Z,true,2024-02-28,2024-02-26T00:00:00.000Z
a6dfee7b-d78f-4c41-b4b3-05c23be0ee7a,SATARK-6756836D,e21e15032cf402c2,2024-03-19T14:37:37.821Z,LOTTERY,L,RESOLVED,62.0,SBI001,Telangana,LOTTERY,10567.35,KBC winner advance bhej do,2024-03-17T17:40:18.000Z,true,2024-03-19,2024-03-18T00:00:00.000Z
ee52f721-5e41-4901-8026-49e9c1d033ee,SATARK-B390ACCF,ebce6a548d89e33b,2024-01-18T11:13:31.127Z,JOB,M,OPEN,,UNION009,Maharashtra,JOB,3442.86,naukri registration advance bhejo abhi,2024-01-17T22:25:44.000Z,true,2024-01-18,2024-01-15T00:00:00.000Z
