txn_hour,txn_dow,sender_state,total_txns,fraud_txns,total_amount,avg_amount,vpn_count,new_device_count,fraud_rate_pct,day_name
8,6,Maharashtra,126,3,331532.7400000001,2631.212222222223,3,14,2.38,Friday
21,1,Maharashtra,406,61,1526424.1099999992,3759.6652955665004,9,60,15.02,Sunday
21,2,Telangana,226,38,869874.1000000004,3849.000442477878,10,34,16.81,Monday
15,7,Uttar Pradesh,66,2,183801.97999999998,2784.8784848484847,3,5,3.03,Saturday
15,1,Uttar Pradesh,55,2,199360.07,3624.7285454545454,1,6,3.64,Sunday
20,3,Tamil Nadu,254,25,741645.0799999996,2919.862519685038,15,45,9.84,Tuesday
14,4,Tamil Nadu,86,4,191257.4,2223.9232558139533,0,12,4.65,Wednesday
18,5,Delhi,152,5,390872.25999999983,2571.5280263157883,3,17,3.29,Thursday
20,2,Telangana,246,32,911780.9400000001,3706.426585365854,11,36,13.01,Monday
20,6,Telangana,242,26,781910.3199999998,3231.0343801652884,12,35,10.74,Friday
20,6,Karnataka,286,44,1165998.2300000002,4076.916888111889,9,45,15.38,Friday
20,4,Karnataka,281,39,1121201.22,3990.0399288256226,7,42,13.88,Wednesday
10,3,Karnataka,81,0,360947.48999999976,4456.1418518518485,3,9,0.0,Tuesday
20,2,Jharkhand,44,7,332314.58999999997,7552.604318181818,4,8,15.91,Monday
13,4,Uttar Pradesh,58,6,122104.39000000001,2105.248103448276,4,4,10.34,Wednesday
15,3,Gujarat,70,5,254630.22999999998,3637.574714285714,1,9,7.14,Tuesday
16,2,Bihar,19,1,34353.82,1808.0957894736841,0,3,5.26,Monday
19,5,West Bengal,147,4,586005.6399999999,3986.4329251700674,3,12,2.72,Thursday
18,3,Karnataka,258,5,861051.909999999,3337.410503875965,9,28,1.94,Tuesday
7,7,Karnataka,71,2,324998.07999999996,4577.437746478872,0,6,2.82,Saturday
17,4,Maharashtra,124,3,425607.02999999997,3432.314758064516,2,11,2.42,Wednesday
9,4,Maharashtra,132,6,411580.77000000025,3118.0361363636384,2,11,4.55,Wednesday
21,4,Madhya Pradesh,132,14,391524.02999999974,2966.091136363634,4,16,10.61,Wednesday
7,3,Maharashtra,101,3,542193.57,5368.253168316831,1,9,2.97,Tuesday
22,6,Tamil Nadu,32,32,146603.73999999996,4581.366874999999,2,16,100.0,Friday
6,3,Telangana,65,0,179459.8800000001,2760.9212307692324,1,5,0.0,Tuesday
6,6,Gujarat,40,4,136696.34000000003,3417.4085000000005,5,7,10.0,Friday
20,4,Uttarakhand,36,2,294554.29,8182.063611111111,1,6,5.56,Wednesday
20,5,Bihar,49,3,102079.37,2083.252448979592,2,7,6.12,Thursday
11,4,Bihar,16,1,72918.56,4557.41,0,1,6.25,Wednesday
18,4,Kerala,59,2,313777.24000000005,5318.258305084747,2,12,3.39,Wednesday
7,5,Karnataka,84,5,213442.83000000005,2540.986071428572,3,9,5.95,Thursday
12,4,Karnataka,70,3,193776.86000000004,2768.2408571428577,2,8,4.29,Wednesday
16,1,Tamil Nadu,75,3,311311.6,4150.821333333333,2,8,4.0,Sunday
10,3,Uttar Pradesh,86,4,410629.11,4774.757093023256,3,5,4.65,Tuesday
11,2,Telangana,81,4,394174.7999999999,4866.355555555554,0,7,4.94,Monday
9,7,Gujarat,76,3,265486.19000000006,3493.239342105264,3,12,3.95,Saturday
6,2,Gujarat,54,4,224450.39,4156.488703703704,1,4,7.41,Monday
11,4,Gujarat,68,2,337746.54,4966.860882352941,1,7,2.94,Wednesday
19,4,Gujarat,209,5,698973.2499999994,3344.3696172248774,6,18,2.39,Wednesday
7,5,Gujarat,42,2,193136.12000000002,4598.479047619048,3,5,4.76,Thursday
11,3,Gujarat,81,3,282409.71,3486.53962962963,3,7,3.7,Tuesday
21,1,Rajasthan,118,13,464256.12999999995,3934.373983050847,4,27,11.02,Sunday
20,5,Rajasthan,132,10,450628.42000000004,3413.851666666667,4,23,7.58,Thursday
13,3,Odisha,17,1,50042.39,2943.67,1,3,5.88,Tuesday
9,5,Uttar Pradesh,70,4,237359.57,3390.851,2,8,5.71,Thursday
6,2,Uttar Pradesh,47,3,88469.95,1882.3393617021277,1,5,6.38,Monday
16,6,Maharashtra,147,7,553898.44,3768.0165986394554,5,15,4.76,Friday
10,4,Uttar Pradesh,57,4,147297.57999999996,2584.168070175438,1,10,7.02,Wednesday
12,7,Gujarat,71,4,290421.44000000006,4090.4428169014095,1,5,5.63,Saturday
17,7,Tamil Nadu,71,4,173736.15000000005,2446.988028169015,4,7,5.63,Saturday
16,7,Bihar,17,0,63260.47,3721.204117647059,0,1,0.0,Saturday
22,6,Odisha,5,5,19637.17,3927.4339999999997,0,5,100.0,Friday
19,2,Madhya Pradesh,98,2,377530.58,3852.3528571428574,1,6,2.04,Monday
22,3,Madhya Pradesh,13,13,111238.01,8556.77,5,6,100.0,Tuesday
22,2,West Bengal,32,30,113468.12,3545.87875,8,17,93.75,Monday
20,1,West Bengal,139,18,473458.61999999976,3406.1771223021565,9,16,12.95,Sunday
16,3,Andhra Pradesh,28,2,58061.530000000006,2073.626071428572,3,3,7.14,Tuesday
17,6,Uttar Pradesh,54,4,188395.86999999994,3488.812407407406,0,5,7.41,Friday
16,5,Nagaland,2,0,2364.66,1182.33,0,0,0.0,Thursday
18,4,Nagaland,10,0,10792.54,1079.2540000000001,0,0,0.0,Wednesday
21,1,West Bengal,141,16,371735.6399999997,2636.422978723402,4,23,11.35,Sunday
16,7,Madhya Pradesh,40,1,108235.95999999999,2705.899,1,6,2.5,Saturday
9,1,West Bengal,48,3,147282.65000000005,3068.3885416666676,2,5,6.25,Sunday
22,2,Telangana,26,25,151123.72,5812.450769230769,3,18,96.15,Monday
16,5,Telangana,60,2,174910.92,2915.1820000000002,0,3,3.33,Thursday
11,4,Jharkhand,13,1,32047.489999999998,2465.191538461538,1,0,7.69,Wednesday
6,5,Delhi,50,2,108358.82999999997,2167.1765999999993,2,4,4.0,Thursday
20,4,Kerala,75,7,234418.14000000004,3125.5752000000007,3,14,9.33,Wednesday
12,7,Arunachal Pradesh,5,0,25747.35,5149.469999999999,0,0,0.0,Saturday
18,7,Arunachal Pradesh,21,0,76641.44,3649.592380952381,0,2,0.0,Saturday
20,7,Haryana,69,6,217276.08999999997,3148.9288405797097,1,8,8.7,Saturday
7,7,Uttar Pradesh,46,2,204874.51,4453.793695652174,0,6,4.35,Saturday
7,7,Assam,6,0,48637.07,8106.178333333333,0,0,0.0,Saturday
18,4,Assam,19,0,35631.21,1875.326842105263,0,3,0.0,Wednesday
6,5,Madhya Pradesh,25,4,85293.43,3411.7371999999996,1,5,16.0,Thursday
16,5,Delhi,57,2,175605.76999999996,3080.8029824561395,1,5,3.51,Thursday
20,3,West Bengal,161,25,619539.6500000003,3848.0723602484486,9,26,15.53,Tuesday
9,7,Telangana,54,2,301389.29,5581.283148148148,0,1,3.7,Saturday
21,7,Rajasthan,125,10,296214.56999999995,2369.7165599999994,4,16,8.0,Saturday
21,1,Meghalaya,10,2,37783.41,3778.3410000000003,0,1,20.0,Sunday
7,6,Andhra Pradesh,18,1,21406.059999999998,1189.2255555555555,2,2,5.56,Friday
17,3,Arunachal Pradesh,7,0,13231.49,1890.212857142857,0,1,0.0,Tuesday
19,1,Himachal Pradesh,17,2,36967.35,2174.5499999999997,0,1,11.76,Sunday
19,1,Odisha,45,2,113666.17,2525.914888888889,0,4,4.44,Sunday
20,4,Goa,19,2,115570.06999999999,6082.635263157895,1,6,10.53,Wednesday
10,7,Andhra Pradesh,41,0,139955.84999999995,3413.5573170731695,0,2,0.0,Saturday
17,2,Bihar,13,0,56273.97,4328.766923076923,0,1,0.0,Monday
12,6,Madhya Pradesh,30,1,118129.86,3937.662,1,3,3.33,Friday
19,3,Mizoram,14,0,35844.36000000001,2560.311428571429,1,2,0.0,Tuesday
11,1,Rajasthan,48,1,320159.35,6669.986458333333,1,5,2.08,Sunday
