scam_type,sender_state,complaint_status,bank_id,complaint_count,total_loss,avg_loss,min_loss,max_loss,avg_resolution_days,min_resolution_days,max_resolution_days,affected_users,linked_txns,total_loss_lakhs,avg_loss_k
IMPERSONATION,Telangana,ESCALATED,SBI001,1,2000.0,2000.0,2000.0,2000.0,,,,1,1,0.02,2.0
TECH_SUPPORT,Telangana,OPEN,CANARA008,2,8986.75,4493.375,886.75,8100.0,,,,2,2,0.09,4.49
KYC,Maharashtra,OPEN,PNB006,12,29680.41,2473.3675,616.03,5000.0,,,,12,12,0.3,2.47
LEGITIMATE,Maharashtra,RESOLVED,KOTAK005,4,14664.25,3666.0625,708.61,9236.92,32.5,7.0,56.0,4,4,0.15,3.67
LOTTERY,West Bengal,OPEN,HDFC002,3,19900.0,6633.333333333333,1200.0,16900.0,,,,3,3,0.2,6.63
LOTTERY,Meghalaya,OPEN,BOB007,1,7100.0,7100.0,7100.0,7100.0,,,,1,1,0.07,7.1
LEGITIMATE,Bihar,OPEN,AXIS004,1,40765.3,40765.3,40765.3,40765.3,,,,1,1,0.41,40.77
KYC,Delhi,OPEN,INDUS010,3,9086.1,3028.7000000000003,1486.1,5000.0,,,,3,3,0.09,3.03
TECH_SUPPORT,Madhya Pradesh,OPEN,KOTAK005,2,7210.75,3605.375,2000.8,5209.95,,,,2,2,0.07,3.61
LEGITIMATE,Andhra Pradesh,ESCALATED,UNION009,1,48.62,48.62,48.62,48.62,,,,1,1,0.0,0.05
JOB,Gujarat,ESCALATED,ICICI003,2,2269.42,1134.71,969.42,1300.0,,,,2,2,0.02,1.13
TECH_SUPPORT,Punjab,ESCALATED,UNION009,1,2800.0,2800.0,2800.0,2800.0,,,,1,1,0.03,2.8
LOTTERY,Maharashtra,RESOLVED,INDUS010,2,3228.8900000000003,1614.4450000000002,1500.0,1728.89,40.0,34.0,46.0,2,2,0.03,1.61
LOTTERY,Chhattisgarh,OPEN,UNION009,1,2797.39,2797.39,2797.39,2797.39,,,,1,1,0.03,2.8
LEGITIMATE,Delhi,ESCALATED,KOTAK005,2,927.97,463.985,174.26,753.71,,,,2,2,0.01,0.46
KYC,Maharashtra,OPEN,AXIS004,13,29616.09,2278.1607692307693,539.23,5000.0,,,,13,13,0.3,2.28
JOB,Punjab,ESCALATED,PNB006,1,2729.17,2729.17,2729.17,2729.17,,,,1,1,0.03,2.73
TECH_SUPPORT,Odisha,RESOLVED,CANARA008,1,1600.0,1600.0,1600.0,1600.0,15.0,15.0,15.0,1,1,0.02,1.6
LEGITIMATE,Maharashtra,OPEN,UNION009,5,3622.57,724.514,58.72,2687.37,,,,5,5,0.04,0.72
TECH_SUPPORT,Rajasthan,RESOLVED,BOB007,2,3166.98,1583.49,1183.08,1983.9,38.0,36.0,40.0,2,2,0.03,1.58
KYC,Gujarat,ESCALATED,KOTAK005,4,2913.87,728.4675,513.87,1200.0,,,,4,4,0.03,0.73
JOB,Andhra Pradesh,ESCALATED,BOB007,1,8000.0,8000.0,8000.0,8000.0,,,,1,1,0.08,8.0
LOTTERY,Delhi,OPEN,PNB006,4,21552.89,5388.2225,1000.0,12425.82,,,,4,4,0.22,5.39
KYC,Telangana,RESOLVED,PNB006,4,6821.64,1705.41,968.35,3100.0,54.0,22.0,79.0,4,4,0.07,1.71
LEGITIMATE,Telangana,OPEN,PNB006,1,14725.37,14725.37,14725.37,14725.37,,,,1,1,0.15,14.73
LOTTERY,Karnataka,OPEN,SBI001,4,26751.83,6687.9575,2714.04,15500.0,,,,4,4,0.27,6.69
JOB,Rajasthan,OPEN,CANARA008,2,3442.9800000000005,1721.4900000000002,1036.91,2406.07,,,,2,2,0.03,1.72
KYC,Maharashtra,OPEN,UNION009,9,27733.52,3081.5022222222224,820.39,5000.0,,,,9,9,0.28,3.08
JOB,Gujarat,RESOLVED,KOTAK005,3,7513.240000000001,2504.4133333333334,1105.46,3407.78,69.66666666666667,66.0,73.0,3,3,0.08,2.5
KYC,Tamil Nadu,OPEN,AXIS004,3,3998.8900000000003,1332.9633333333334,500.19,1848.3,,,,3,3,0.04,1.33
KYC,Rajasthan,OPEN,UNION009,2,1100.0,550.0,500.0,600.0,,,,2,2,0.01,0.55
KYC,Delhi,OPEN,KOTAK005,8,20539.21,2567.40125,663.35,5000.0,,,,8,8,0.21,2.57
KYC,Odisha,OPEN,INDUS010,3,2215.88,738.6266666666667,500.0,900.0,,,,3,3,0.02,0.74
JOB,Maharashtra,OPEN,HDFC002,5,11742.76,2348.552,1200.0,4542.76,,,,5,5,0.12,2.35
KYC,Karnataka,OPEN,INDUS010,10,23260.04,2326.004,800.0,3500.0,,,,10,10,0.23,2.33
KYC,Haryana,OPEN,AXIS004,4,7866.89,1966.7225,500.0,4538.34,,,,4,4,0.08,1.97
KYC,Kerala,OPEN,CANARA008,4,6700.0,1675.0,500.0,2900.0,,,,4,4,0.07,1.68
INVESTMENT,Haryana,OPEN,INDUS010,1,20800.0,20800.0,20800.0,20800.0,,,,1,1,0.21,20.8
KYC,Haryana,OPEN,INDUS010,2,3200.0,1600.0,1400.0,1800.0,,,,2,2,0.03,1.6
JOB,Uttar Pradesh,RESOLVED,AXIS004,2,7355.9400000000005,3677.9700000000003,755.94,6600.0,67.0,54.0,80.0,2,2,0.07,3.68
KYC,Karnataka,RESOLVED,INDUS010,2,7430.0,3715.0,2430.0,5000.0,77.5,75.0,80.0,2,2,0.07,3.72
EMERGENCY,Tamil Nadu,RESOLVED,BOB007,1,20400.0,20400.0,20400.0,20400.0,72.0,72.0,72.0,1,1,0.2,20.4
KYC,Uttar Pradesh,OPEN,KOTAK005,4,13324.060000000001,3331.0150000000003,2100.0,4650.87,,,,4,4,0.13,3.33
LEGITIMATE,Uttar Pradesh,OPEN,HDFC002,5,9600.119999999999,1920.024,339.02,3667.35,,,,5,5,0.1,1.92
LEGITIMATE,Uttarakhand,RESOLVED,CANARA008,1,4340.83,4340.83,4340.83,4340.83,70.0,70.0,70.0,1,1,0.04,4.34
KYC,Tamil Nadu,RESOLVED,ICICI003,2,4022.02,2011.01,500.0,3522.02,42.0,15.0,69.0,2,2,0.04,2.01
EMERGENCY,Maharashtra,RESOLVED,INDUS010,2,20529.2,10264.6,3029.2,17500.0,39.5,8.0,71.0,2,2,0.21,10.26
KYC,Tamil Nadu,OPEN,HDFC002,7,13124.18,1874.8828571428571,624.94,4206.29,,,,7,7,0.13,1.87
KYC,Jharkhand,OPEN,AXIS004,4,5493.719999999999,1373.4299999999998,1200.0,1646.28,,,,4,4,0.05,1.37
LEGITIMATE,Chhattisgarh,ESCALATED,PNB006,1,616.78,616.78,616.78,616.78,,,,1,1,0.01,0.62
LOTTERY,Gujarat,OPEN,HDFC002,4,12985.61,3246.4025,1800.0,5412.56,,,,4,4,0.13,3.25
LOTTERY,Bihar,OPEN,UNION009,2,9062.8,4531.4,2362.8,6700.0,,,,2,2,0.09,4.53
LOTTERY,Assam,OPEN,UNION009,1,25000.0,25000.0,25000.0,25000.0,,,,1,1,0.25,25.0
LOTTERY,Kerala,OPEN,KOTAK005,2,17946.739999999998,8973.369999999999,4446.74,13500.0,,,,2,2,0.18,8.97
LOTTERY,Karnataka,ESCALATED,UNION009,2,14076.97,7038.485,5202.65,8874.32,,,,2,2,0.14,7.04
KYC,Bihar,OPEN,PNB006,1,3493.75,3493.75,3493.75,3493.75,,,,1,1,0.03,3.49
TECH_SUPPORT,Gujarat,OPEN,BOB007,3,8592.529999999999,2864.1766666666663,2593.55,3098.98,,,,3,3,0.09,2.86
KYC,Tamil Nadu,OPEN,CANARA008,7,15316.23,2188.032857142857,812.35,4797.87,,,,7,7,0.15,2.19
KYC,Uttar Pradesh,OPEN,PNB006,4,8379.099999999999,2094.7749999999996,900.0,4154.23,,,,4,4,0.08,2.09
LOTTERY,Uttarakhand,RESOLVED,UNION009,2,11796.85,5898.425,2168.35,9628.5,42.5,10.0,75.0,2,2,0.12,5.9
TECH_SUPPORT,Tamil Nadu,RESOLVED,KOTAK005,3,8739.27,2913.09,600.0,7039.27,53.666666666666664,15.0,85.0,3,3,0.09,2.91
JOB,Uttar Pradesh,ESCALATED,HDFC002,1,2281.07,2281.07,2281.07,2281.07,,,,1,1,0.02,2.28
KYC,Tamil Nadu,OPEN,SBI001,9,12853.61,1428.1788888888889,500.0,2800.0,,,,9,9,0.13,1.43
JOB,Gujarat,RESOLVED,AXIS004,2,3600.0,1800.0,700.0,2900.0,26.0,14.0,38.0,2,2,0.04,1.8
KYC,Bihar,OPEN,UNION009,3,5662.6900000000005,1887.5633333333335,900.0,3100.0,,,,3,3,0.06,1.89
LOTTERY,Haryana,RESOLVED,HDFC002,2,10424.58,5212.29,3163.68,7260.9,34.5,4.0,65.0,2,2,0.1,5.21
TECH_SUPPORT,Bihar,OPEN,BOB007,1,6994.3,6994.3,6994.3,6994.3,,,,1,1,0.07,6.99
JOB,Odisha,OPEN,KOTAK005,1,4800.0,4800.0,4800.0,4800.0,,,,1,1,0.05,4.8
KYC,Uttar Pradesh,ESCALATED,INDUS010,2,6100.0,3050.0,1100.0,5000.0,,,,2,2,0.06,3.05
KYC,Karnataka,ESCALATED,CANARA008,3,8900.0,2966.6666666666665,500.0,5000.0,,,,3,3,0.09,2.97
LEGITIMATE,Telangana,ESCALATED,KOTAK005,1,1310.73,1310.73,1310.73,1310.73,,,,1,1,0.01,1.31
LOTTERY,West Bengal,RESOLVED,UNION009,2,6192.74,3096.37,1908.05,4284.69,50.0,19.0,81.0,2,2,0.06,3.1
LOTTERY,Karnataka,ESCALATED,HDFC002,1,13700.0,13700.0,13700.0,13700.0,,,,1,1,0.14,13.7
LOTTERY,Bihar,ESCALATED,AXIS004,1,11500.22,11500.22,11500.22,11500.22,,,,1,1,0.12,11.5
LOTTERY,Tamil Nadu,RESOLVED,KOTAK005,1,2736.04,2736.04,2736.04,2736.04,49.0,49.0,49.0,1,1,0.03,2.74
LEGITIMATE,Tamil Nadu,RESOLVED,ICICI003,2,3736.68,1868.34,528.81,3207.87,42.0,17.0,67.0,2,2,0.04,1.87
KYC,West Bengal,RESOLVED,UNION009,2,5062.1,2531.05,2412.54,2649.56,40.5,6.0,75.0,2,2,0.05,2.53
LEGITIMATE,Maharashtra,ESCALATED,HDFC002,4,11199.0,2799.75,53.12,9976.49,,,,4,4,0.11,2.8
INVESTMENT,Tamil Nadu,OPEN,CANARA008,1,13008.22,13008.22,13008.22,13008.22,,,,1,1,0.13,13.01
IMPERSONATION,Gujarat,OPEN,ICICI003,3,38334.74,12778.246666666666,6177.75,19091.91,,,,3,3,0.38,12.78
KYC,Arunachal Pradesh,OPEN,SBI001,1,4671.67,4671.67,4671.67,4671.67,,,,1,1,0.05,4.67
LOTTERY,Andhra Pradesh,ESCALATED,HDFC002,2,42033.979999999996,21016.989999999998,17033.98,25000.0,,,,2,2,0.42,21.02
JOB,Uttar Pradesh,OPEN,SBI001,1,6627.07,6627.07,6627.07,6627.07,,,,1,1,0.07,6.63
TECH_SUPPORT,Arunachal Pradesh,OPEN,CANARA008,1,1434.46,1434.46,1434.46,1434.46,,,,1,1,0.01,1.43
LOTTERY,Punjab,ESCALATED,SBI001,2,34390.56,17195.28,9390.56,25000.0,,,,2,2,0.34,17.2
KYC,Delhi,ESCALATED,SBI001,3,6404.81,2134.936666666667,500.0,4404.81,,,,3,3,0.06,2.13
KYC,Goa,ESCALATED,UNION009,1,2200.0,2200.0,2200.0,2200.0,,,,1,1,0.02,2.2
KYC,Haryana,RESOLVED,BOB007,1,1600.0,1600.0,1600.0,1600.0,8.0,8.0,8.0,1,1,0.02,1.6
LEGITIMATE,Maharashtra,RESOLVED,ICICI003,2,404.99,202.495,180.31,224.68,60.0,51.0,69.0,2,2,0.0,0.2
KYC,Himachal Pradesh,RESOLVED,UNION009,1,1934.45,1934.45,1934.45,1934.45,37.0,37.0,37.0,1,1,0.02,1.93
LOTTERY,West Bengal,RESOLVED,PNB006,2,16200.0,8100.0,2700.0,13500.0,72.5,60.0,85.0,2,2,0.16,8.1
LOTTERY,Delhi,RESOLVED,PNB006,1,2442.63,2442.63,2442.63,2442.63,36.0,36.0,36.0,1,1,0.02,2.44
TECH_SUPPORT,Maharashtra,ESCALATED,ICICI003,3,5521.8099999999995,1840.6033333333332,1000.0,3200.0,,,,3,3,0.06,1.84
LEGITIMATE,Goa,RESOLVED,INDUS010,1,3107.57,3107.57,3107.57,3107.57,10.0,10.0,10.0,1,1,0.03,3.11
LOTTERY,Odisha,OPEN,SBI001,1,3800.0,3800.0,3800.0,3800.0,,,,1,1,0.04,3.8
LOTTERY,Kerala,OPEN,INDUS010,3,39458.43,13152.81,4204.93,25000.0,,,,3,3,0.39,13.15
JOB,West Bengal,RESOLVED,INDUS010,1,1392.19,1392.19,1392.19,1392.19,57.0,57.0,57.0,1,1,0.01,1.39
JOB,Delhi,OPEN,HDFC002,2,4340.12,2170.06,640.12,3700.0,,,,2,2,0.04,2.17
LOTTERY,Uttarakhand,OPEN,CANARA008,1,12200.0,12200.0,12200.0,12200.0,,,,1,1,0.12,12.2
INVESTMENT,Manipur,RESOLVED,AXIS004,1,73900.0,73900.0,73900.0,73900.0,28.0,28.0,28.0,1,1,0.74,73.9
TECH_SUPPORT,Tamil Nadu,ESCALATED,BOB007,1,4841.99,4841.99,4841.99,4841.99,,,,1,1,0.05,4.84
EMERGENCY,West Bengal,RESOLVED,ICICI003,1,2000.0,2000.0,2000.0,2000.0,50.0,50.0,50.0,1,1,0.02,2.0
IMPERSONATION,Maharashtra,OPEN,BOB007,5,51351.979999999996,10270.395999999999,2000.0,26800.0,,,,5,5,0.51,10.27
